=== BASIC ===
Nodes: 1587465
Edges: 13927650

=== NODE CATEGORIES ===
biolink:NamedThing 1571459
biolink:ChemicalEntityOrGeneOrGeneProduct 1433077
biolink:PhysicalEssenceOrOccurrent 1323842
biolink:ChemicalEntityOrProteinOrPolypeptide 1312601
biolink:PhysicalEssence 1289236
biolink:ChemicalEntity 1039177
biolink:ChemicalOrDrugOrTreatment 1039177
biolink:SmallMolecule 992344
biolink:MolecularEntity 992344
biolink:BiologicalEntity 532228
biolink:ThingWithTaxon 532228
biolink:GeneOrGeneProduct 386461
biolink:MacromolecularMachineMixin 386461
biolink:Protein 273424
biolink:GeneProductMixin 273424
biolink:Polypeptide 273424
biolink:OntologyClass 258348
biolink:Gene 225864
biolink:GenomicEntity 221314
biolink:DiseaseOrPhenotypicFeature 75011

=== EDGE PREDICATES ===
biolink:subclass_of 9937241
biolink:directly_physically_interacts_with 1127619
biolink:physically_interacts_with 622361
biolink:related_to 377492
biolink:associated_with 335452
biolink:affects 262258
biolink:has_phenotype 258162
biolink:enables 222603
biolink:located_in 210192
biolink:has_side_effect 139874
biolink:acts_upstream_of_or_within 90694
biolink:active_in 80489
biolink:orthologous_to 76519
biolink:member_of 58799
biolink:interacts_with 33100
biolink:has_part 32261
biolink:regulates 19807
biolink:contributes_to 11726
biolink:correlated_with 11237
biolink:equivalent_to 8009

=== EDGE CATEGORIES ===
biolink:Association 10276285
biolink:ChemicalGeneInteractionAssociation 1126815
biolink:GeneToGoTermAssociation 713179
biolink:PairwiseMolecularInteraction 622361
biolink:GeneToPhenotypicFeatureAssociation 324912
biolink:ChemicalAffectsGeneAssociation 280483
biolink:DiseaseToPhenotypicFeatureAssociation 258162
biolink:ChemicalEntityToDiseaseOrPhenotypicFeatureAssociation 139874
biolink:GeneToGeneHomologyAssociation 76519
biolink:GeneToGeneFamilyAssociation 58799
biolink:GeneRegulatesGeneAssociation 36604
biolink:CausalGeneToDiseaseAssociation 6943
biolink:GeneToDiseaseAssociation 3026
biolink:ChemicalEntityToChemicalEntityAssociation 2943
biolink:CorrelatedGeneToDiseaseAssociation 630
biolink:GeneAffectsChemicalAssociation 157

=== DEGREE ===
Mean: 17.547032533000728
Median: 2
90th: 26
99th: 111
Max: 452560

=== CONNECTIVITY ===
Connected nodes: 1484053
Isolated nodes: 103412
