=== BASIC ===
Nodes: 1000773
Edges: 3990409

=== NODE CATEGORIES ===
biolink:NamedThing 987969
biolink:PhysicalEssenceOrOccurrent 941725
biolink:ChemicalEntityOrGeneOrGeneProduct 941320
biolink:PhysicalEssence 923971
biolink:ChemicalEntityOrProteinOrPolypeptide 920248
biolink:ChemicalEntity 849440
biolink:ChemicalOrDrugOrTreatment 849440
biolink:SmallMolecule 816950
biolink:MolecularEntity 816950
biolink:BiologicalEntity 138475
biolink:ThingWithTaxon 138475
biolink:OntologyClass 92540
biolink:GeneOrGeneProduct 84441
biolink:MacromolecularMachineMixin 84441
biolink:Gene 77111
biolink:GenomicEntity 72561
biolink:Protein 70808
biolink:GeneProductMixin 70808
biolink:Polypeptide 70808
biolink:DiseaseOrPhenotypicFeature 26905

=== EDGE PREDICATES ===
biolink:directly_physically_interacts_with 1127619
biolink:physically_interacts_with 622361
biolink:related_to 377492
biolink:associated_with 335452
biolink:affects 262258
biolink:has_phenotype 258162
biolink:enables 222603
biolink:located_in 210192
biolink:has_side_effect 139874
biolink:acts_upstream_of_or_within 90694
biolink:active_in 80489
biolink:orthologous_to 76519
biolink:member_of 58799
biolink:interacts_with 33100
biolink:has_part 32261
biolink:regulates 19807
biolink:contributes_to 11726
biolink:correlated_with 11237
biolink:equivalent_to 8009
biolink:positively_correlated_with 2285

=== EDGE CATEGORIES ===
biolink:ChemicalGeneInteractionAssociation 1126815
biolink:GeneToGoTermAssociation 713179
biolink:PairwiseMolecularInteraction 622361
biolink:Association 339044
biolink:GeneToPhenotypicFeatureAssociation 324912
biolink:ChemicalAffectsGeneAssociation 280483
biolink:DiseaseToPhenotypicFeatureAssociation 258162
biolink:ChemicalEntityToDiseaseOrPhenotypicFeatureAssociation 139874
biolink:GeneToGeneHomologyAssociation 76519
biolink:GeneToGeneFamilyAssociation 58799
biolink:GeneRegulatesGeneAssociation 36604
biolink:CausalGeneToDiseaseAssociation 6943
biolink:GeneToDiseaseAssociation 3026
biolink:ChemicalEntityToChemicalEntityAssociation 2943
biolink:CorrelatedGeneToDiseaseAssociation 630
biolink:GeneAffectsChemicalAssociation 157

=== DEGREE ===
Mean: 7.974653592772786
Median: 1
90th: 7
99th: 120
Max: 26898

=== CONNECTIVITY ===
Connected nodes: 1000773
Isolated nodes: 0
